p_name,policy_id,introduction,policy_type,support,operating_period,application_period,scale,p_region,p_age_max,p_age,p_region_income,p_education,p_major,p_employment,p_characteristic,detail,restriction,procedure,announcement,m_site,document,etc,a_name,m_name,a_site1,a_site2
청년희망키움통장,R2021021802267,근로활동하는 생계급여 수급 청년에게 근로 인센티브를 지원하여 탈수급 촉진,"주거·금융, 생활비지원 및 금융 혜택","- 근로소득장려금(소득의 45퍼센트, 상한액 523천원)- 근로소득공제금10만원(생계급여 수급시)",2021.01.01.~2021.12.31.,연중 수시,100명,인천 부평구,39,만 15세 ~ 39세,생계급여수급청년,제한없음,제한없음,재직자,제한없음,3년 이내 생계급여 탈수급,1. 청년내일채움공제2. 희망두배청년통장3. 일하는 청년통장등 유사 자산형성사업,신청서 작성 및 증빙서류 구비,- 신청 접수 후 적합 여부 결정(1주일 이내),방문신청,신청서 및 근로계약서 등,"장려금 지원조건 : 탈수급, 주택자금관련, 학자금 관련, 창업.운영자금, 의료비 관련, 결혼자금관련 등 사용용도 증빙 자료 제출(총 장려금의 50퍼센트)",사회보장과,한국자활복지개발원,https://www.icbp.go.kr/welfare/user/low_income/gnpsc/business_bankbook.jsp,https://www.icbp.go.kr/
부산시 청년희망날개통장,R2022011201122,저소득 근로 청년을 대상으로 본인 저축액에 시 적립금을 지원하여 청년들의 근로의욕 고취와 자립기반 조성을 지원,"주거·금융, 생활비지원 및 금융 혜택","- 월 본인 저축액 10만원 + 시 적립금 10만원 1:1 매칭 지원
- 3년 만기 해지 시 720만원(이자 별도) 지급
- 중도해지 시 본인적립금(이자 별도)만 지급",2017.10~2023.,"'22년 보건복지부 ‘청년내일저축계좌’사업 신설에 따라 유사중복사업인 ‘청년희망날개통장’은 신규모집 중단하고 기 가입 유지자 지원 후 '23년 사업종료 예정
‘청년내일저축계좌’사업의 '22년 7월에 모집 예정이며, 구체적 일정이 나오면 시 홈페이지 및 각 구군읍·면·동 주민센터 통해 안내 예정",-,부산,34,만 15세 ~ 34세,부산지역 거주하는 근로중인 청년 중 기준중위소득 80프로 이하인 가구,제한없음,제한없음,재직자,저소득층,"지원조건
- 교육 및 사례관리 이수(연 1회)
- 사용용도 증빙(학자금 대출상환, 교육비, 결혼자금, 창업 및 운영자금, 주택(임대)비 등)","청년내일채움공제, 부산 청년디딤돌카드(청년구직수당) 등 유사 자산형성지원사업 참여자",부산광역시 청년플랫폼 홈페이지 접속 - 공고문 확인 후 온라인 신청 - 심사 - 지원 결정 - 통장 개설,신청 완료 후 소득기준 및 중복서비스 여부 등 심사 후 발표,http://www.busan.go.kr/young/life03,"온라인 신청 시 별도 서류 제출 불필요하나, 자세한 내용은 공고문 등 확인","담당부서: 부산광역시 콜센터(051-120), 구군별 담당자
적립·해지 등 사업문의 : 부산광역자활센터(714-2379)",부산광역시청 복지건강국 복지정책과,부산광역자활센터,https://www.busan.go.kr/young/life03,https://www.busan.go.kr/build/index
다자녀가구 상수도요금 감면,R2021031101421,"저출산 고령화 시대의 흐름에 따라 출산, 양육등에 소요되는 경제적 부담을 경감하여 출산장려 여건을 조성하고, 다자녀가구의 양육부담을 덜어주기 위한 정책","주거·금융, 생활비지원 및 금융 혜택",다자녀가구 상수도요금 월 5톤 감면(만19세 미만 3명이상의 자녀를 둔 가구),-,연중,127세대(2019년 기준),강원 태백시,18,만 18세 이하,만19세미만 3명 이상의 자녀를 둔 세대,제한없음,제한없음,제한없음,제한없음,-,만19세미만 3명 미만의 자녀를 둔 세대,"1. 동 행정복지센터 방문 또는 우편 , 상수도사업소 방문 또는 우편(관련서류 지참)2. 상수도사용료 감면신청서 제출(동 자격확인)3. 동주민센터에서 상수도사업소 신청서 공문 제출4. 확인 후 즉시 감면 처리",-,-,-,-,상하수도사업소,-,,
(대전 동구) 청년희망키움통장,R2021031100927,근로소득이 발생하는 생계급여 수급 청년을 대상으로 목돈마련의 기회를 제공하고 탈수급 가능성을 높이긴 위한 자산형성지원사업,"주거·금융, 생활비지원 및 금융 혜택",- 매월 근로사업활동 + 통장가입 이내 혹은 유예기간(3년 만기 후 3개월) 이내 탈수급 시 : 근로소득공제금 + 근로소득장려금 지원   *본인저축없음,2021.01.01.~2021.12.31.,2021.02.~2021.11.(매월 17일까지 상시접수),66명,대전 동구,39,만 15세 ~ 39세,일하는 생계급여(소득인정액이 기준중위소득 30퍼센트이하인 가구)수급자 청년(만15세~39세),제한없음,제한없음,"재직자, 자영업자",저소득층,- 근로소득공제금: 매월 생계급여액 지급 시 공제되는 청년의 소득에서 근로사업소득 공제 10만원을 추가 공제하여 저축- 근로소득장려금: (청년 총소득) x 0.45(장려율),#NAME?,#NAME?,"2021년 2월~11월 매달 20일까지 대상자 결정 및 선정결과 통보- 매달 25-26일 지자체에서 근로소득장려금 및 근로소득공제금 생성 및 전송- 매달 27-31일 근로소득공제금(시군구생계급여담당자), 근로소득장려금(한국자활복지개발원) 적립",-,- 청년희망키움통장 참여(변경)신청서- 저축동의서- 개인정보제공 및 활용동의서- 근로활동 및 소득신고서 혹은 고용임금확인서 등 소득확인서류,#NAME?,대전 동구청 사회복지과 자활의료팀,한국자활복지개발원,http://www.hopegrowing.com/,https://www.donggu.go.kr/dg/kor/contents/962
청년 임차보증금 이자지원사업,R2022012601485,목돈 마련이 어려운 청년들에게 임차보증금 대출 및 이자를 지원함으로써 소득대비 높은 주거비용의 부담경감,"주거·금융, 생활비지원 및 금융 혜택","최대 7,000만원(임차보증금의 90% 이내)",,상시,-,서울,39,만 19세 ~ 39세,만19~39세 이하의 청년,제한없음,제한없음,제한없음,제한없음,"(1) 융자지원 조건
- 융자취급은행 : 하나은행
- 융자최대한도 : 최대 7,000만원(임차보증금의 90% 이내)
- 서울시 지원 금리: 대출금의 연 2.0%
※ 본인부담금리: 대출금리 - 서울시지원금리 = 최저 연 1.0%
(2) 융자용도 : 임차보증금
(3) 대출 및 이자지원 기간
- 만 39세까지 대출 및 이자지원 (※ 만 40세가 되는 날부터 이자지원이 중단됨)
- 주택임대차 계약기간에 따라 회당 6개월~2년
※ 대출일 기준 신청자가 만 39세인 기간이 6개월 이상 남아있어야 잔여기간을 임대차 계약 및 대출기간으로 하여 대출실행과 서울시 이자지원이 가능함
- 회수 제한 없이 대출기간 합산 최대 8년까지 추가연장 가능",,추천신청 - 추천심사 - 추천서 발급 - 대출가능여부 및 보증한도 조회 - 임차주택계약 - 대출 신청 - 대출 심사 및 대출금 지급,-,https://housing.seoul.go.kr/site/main/content/sh01_040901#,"? 모든 파일은 보안해제, 압축해제 후 첨부
? 모든 서류는 1개월 이내 발급
? 전년도 소득금액증명원 발급불가 시(연말정산한 근로소득자의
경우 전년도 연말정산이 완료되지 않은 3월 초까지, 종합소득세
신고자의 경우 전년도 종합소득세 신고 후 처리가 완료되는 7월
초까지를 의미)에는 전전년도 소득증명서류로 대체
? 소득금액증명원 발급 불가 시 ‘신고사실없음 사실증명원’ 제출
※ 소득금액증명원 발급 불가 사유는 전년도 신고할 소득이 발생하지 않은
경우에 한하며, 소득이 발생했으나 소득신고를 하지 않아 ‘신고사실없음
사실증명원’ 및 ‘소득금액증명원’ 모두 발급불가한 경우 소득신고 후 소득
금액증명원 첨부해야 함
? 기혼자의 경우 [붙임1](서울주거포털에 게시되어 있음)에 따라
근로 및 소득 증명서류(배우자)를 추가로 제출","? 본 사업을 통한 대출은 생애 1회로 제한합니다. 추가 대출 및 전액 상환 후 재신청 불가
※ 본 사업 관련 대출이력이 있을 경우 은행대출심사 단계에서 대출이 거절되며,
서울주거포털에서는 정확한 대출이력 확인이 어려우니 은행에 사전문의 바람
※ 최초 대출실행 후 대출금 증액이 불가능
? 추천서 유효기간은 3개월로, 이 기간 내 임차계약 및 대출신청
? 신청서류미흡으로 인한 승인거부 후 재신청시에는 심사가 지연되므로 주의 바람
? 제출서류는반환하지않으며, 기재내용이사실과다른경우, 추천이취소될수있음
? 추천서를 받으셨다 하더라도 은행내규에 적합하지 않을 경우 대출취급이 제한될 수도 있음
? 본 신청과 관련된 일체의 소요비용은 신청자 부담
? 소득증명과 관련한 서류 및 신청내용 등이 사실과 다를 경우 대출기간 연장 시 연장이 거절되거나 지원이자를 반납해야 하므로 주의",서울시,주관기관과 동일,,https://housing.seoul.go.kr/site/main/home
공동육아나눔터 운영,R2021031101758,"양육자, 자녀에게 안전한 돌봄활동 장소와 정보나눔 기회를 제공하고 돌봄 품앗이 연계 등을 통해 자녀양육부담 감소","주거·금융, 생활비지원 및 금융 혜택",안전한 돌봄활동 장소와 정보나눔 기회 제공 및 돌봄 품앗이 연계,2021.01.01.~2021.12.31.,-,-,전북,18,만 18세 이하,제한 없음,제한없음,제한없음,제한없음,제한없음,해당 없음,해당 없음,해당사항 없음,해당 없음,해당 없음,해당사항 없음,해당사항 없음,여성청소년과,-,https://blog.naver.com/jbgokr/222254584233,https://blog.naver.com/jbgokr
(건강보험) 임의계속가입제도,R2022012001276,실업자에 대한 경제적 부담을 완화하고자 임의계속가입자 보험료가 지역보험료 보다 적은 경우 임의계속보험료로 납부할 수 있도록 하는 제도,"주거·금융, 생활비지원 및 금융 혜택","- 임의계속가입자 보험료 = [보수월액보험료가 산정된 최근 12개월간의 보수월액을 평균한 금액×연도별 직장가입자 보험료율×50퍼센트(경감)]+소득월액보험료
- 36개월 동안은 지역보험료 대신 임의계속가입자 보험료 납부
- 직장가입자와 동일하게 피부양자 등재 가능",-,2022년 계속사업,-,중앙부처,999,제한없음,"- 사용관계가 끝난 사람(퇴사자) 중 직장가입자로서의 자격을 유지한 기간이 보건복지부령으로 정하는 기간 동안 통산 1년 이상인 사람 (법 제110조) (2018.07.01.부터 개정시행)

- 퇴직 이전 18개월 기간 동안 직장가입자로서의 자격을 유지한 기간이 통산 1년 이상인 사람으로, 종전의 직장가입자보험료(보수월액보험료+소득월액보험료)를 납부하고자 공단에 신청한 자",제한없음,제한없음,제한없음,제한없음,"- 국민건강보험법 제110조 제1항에 의거 임의계속가입 자격은 지역가입자가 된 후 최초로 고지받은 지역보험료 납부기한에서 2개월이 지나기 이전까지 신청하여야 하고, 

제2항에 의거 임의계속을 신청한 자가 최초로 고지한 임의계속 보험료를 그 납부기한부터 2개월이 지난 날까지 납부하지 않을 경우 임의계속 가입자 자격이 상실되며 지역가입자로 변동

- 임의계속 세대의 소득 및 재산변동 등으로 임의계속가입자로서의 자격을 더 이상 유지하지 않으려는 사람은 「임의계속탈퇴 신청서」를 작성하여 공단에 제출하여야 하며, 해당 임의계속가입자는 임의계속탈퇴 신청서가 공단에 접수된 날의 다음 날로 그 자격이 상실됨",-,"- 가까운 건강보험공단 지사에 방문하여 임의계속가입 신청

- 부득이한 사유로 방문이 곤란할 경우 FAX, 우편, 유선 등으로 신청 (신청서 양식은 참고사이트1 참조)",-,가까운 국민건강보험공단 문의 (지사찾기 ▶https://www.nhis.or.kr/nhis/about/retrieveBranchList.do),-,-,보건복지부,국민건강보험공단,https://www.nhis.or.kr/nhis/policy/wbhada05100m01.do,https://www.nhis.or.kr/nhis/index.do
청년 콘텐츠기업 투자 펀드,R2021021800154,지분투자를 통한 콘텐츠 분야 청년 고용 활성화,"주거·금융, 생활비지원 및 금융 혜택",- 지원내용 : 450억원 규모 펀드 조성을 통해 청년콘텐츠 기업에 투자재원 공급 * 19년 결성펀드로 22년까지 투자 예상- 전달체계 : 모태펀드 운용기관(중기부산하 한국벤처투자)을 통한 간접 지원 가능할 것으로 파악,2021.01.01~12.31,-,-,중앙부처,39,만 18세 ~ 39세,제한없음,제한없음,제한없음,청년콘텐츠 기업,청년콘텐츠 기업,-,제한없음,-,-,-,-,-,문화체육관광부,주관기관과 동일,,https://www.kvic.or.kr/
결혼장려금 지원,R2021031101925,관내 주소를 둔 혼인 부부에게 결혼장려금 지원,"주거·금융, 생활비지원 및 금융 혜택",세대당 500만원 3회 분할 지급,2021. 1. ~ 2021. 12.,수시,-,전북 진안군,49,만 49세 이하,미혼남녀(결혼전 1년 이상 군 주민등록을 둔 미혼성인)로서 결혼 후 계속하여 군내 주민등록을 둔 부부,제한없음,제한없음,제한없음,제한없음,사유발생일(혼인신고일)로부터 6개월 이내 신청가능(6개월 경과한 경우 1년 후에 합산신청 및 수령가능),진안군 농어업분야 지원에 관한 조례 제 4조 제1항 제1호에 근거한 농어업인 결혼지원사업 대상자신청일 현재 관외 전출자 혹은 혼인관계가 종료된 자,읍면 민원실 방문 신청,-,https://www.jinan.go.kr,"신청서, 주민등록초본, 혼인관계증명서(상세), 통장사본 등",-,진안군청 농촌활력과 귀농귀촌팀,주관기관과 동일,https://www.jinan.go.kr/town/board/view.jinan?menuCd=DOM_000000303003001000&boardId=BBS_0000026&dataSid=65779,https://www.jinan.go.kr
청년저축계좌,R2021021802268,근로활동하는 기준중위소득 50퍼센트 이하의 주거.교육급여 외 차상위 청년에게 목돈 마련을 지원하여 자립 촉진,"주거·금융, 생활비지원 및 금융 혜택",매월 본인저축액 10만원 저축 시 근로소득장려금 30만원 적립,2021.01.01.~2021.12.31.,연중 수시,212명,인천부평구,39,만 15세 ~ 39세,주거.교육급여 수급 및 차상위 청년,제한없음,제한없음,재직자,제한없음,"근로활동 지속, 자립역량강화교육 이수",1. 청년내일채움공제2. 희망두배청년통장3. 일하는 청년통장등 유사 자산형성사업,신청서 작성 및 증빙서류 구비,- 신청 접수 후 적합 여부 결정(2개월 이내),방문신청,신청서 및 근로계약서 등,"장려금 지원조건 : 자립역량강화교육 이수(4회), 주택자금관련, 학자금 관련, 창업.운영자금, 의료비 관련, 결혼자금관련 등 사용용도 증빙 자료 제출(총 장려금의 50퍼센트)",사회보장과,한국자활복지개발원,https://www.icbp.go.kr/welfare/user/low_income/gnpsc/business_bankbook.jsp,https://www.icbp.go.kr/
