p-name,policy-id,introduction,policy-type,support,operating-period,application-period,scale,p-region,p-age-max,p-age,p-region-income,p-education,p-major,p-employment,p-major,detail,restriction,procedure,announcement,m-site,document,etc,a-name,m-name,a-site1,a-site2
청년 주택자금 대출이자 지원사업,R2021021803118,청년부채의 높은 비중을 차지하는 주거비용 경감을 통한 주거안정,"주거·금융, 주거지원","구입 : 대출금 1억 이내, 연최대 300만원(최장 5년)전세 : 대출금 6,600만원 이내, 연최대 200만원(최장4년)",연중,잔금일 기준 3~4주 전,600명,전남 광양시,39,만 19세 ~ 39세,광양시 거주(예정) 무주택 청년,제한없음,제한없음,"재직자, 자영업자, 미취업자",제한없음,각 구분에 따른 연소득 기준 충족,"주거급여 대상자, 주택(건물)소유자, 기타 유사한 사업의 수혜자",주택계약 - 시청 방문접수 - 추천서 발급 - 은행 대출신청,"1차 자격요건 확인 : 연령, 소득기준 등2차 주거급여 대상자 여부 확인추천서 발급(개별통보)",해당 없음,"신청서, 개인정보제공동의서, 지원신청자 의무사항, 신청자격 자가진단 및 필수사항 확인·동의서, 주민등록등본, 가족관계증명서, 미과세증명서, 등기부등본 등",해당사항 없음,광양시청 전략정책실,-,https://www.gwangyang.go.kr/index.gwangyang?menuCd=DOM-000000105004012005,https://www.gwangyang.go.kr/
청년희망키움통장,R2021021803808,근로능력 있는 생계급여 수급 청년(만15~39세)에게 근로소득장려금을 지원하여 탈수급 촉진하는 자산형성지원사업,"주거·금융, 생활비지원 및 금융 혜택",청년희망키움통장을 통해 매월 근로소득장려금 지원,2020.~ 계속사업,2월~11월(매월),11명,경남 함안군,39,만 15세 ~ 39세,일하는 기초생계급여수급청년(기초생계급여수급가구 내),제한없음,제한없음,재직자,저소득층,-,1. 대학교 근로 장학생의 근로장학금2. 무급근로3. 직접재정지원사업 근무자4. 실업급여 등 가입불가5. 기타 유사한 자산형성지원사업 지급해지자 등,1. 읍면사무소신청2. 군 심사3. 위탁기관 지급(3년 만기후)* 탈수급 시,-,-,1. 신청서2. 저축동의서3. 개인정보제공및활용동의서,"1. 가입기간: 3년, 군미필자: 5년2. 유사자산형성지원사업 지원불가(고용노동부,중소벤처기업부의 청년통장과 중복줄가)",함안군청 행복나눔과,한국자활복지개발원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16438,http://www.haman.go.kr
내일키움통장,R2022012501411,자활근로사업단에 성실 참여 중인 수급권자 또는 차상위 계층에게 적립형 통장을 통해 목돈 마련 기회 제공,"주거·금융, 생활비지원 및 금융 혜택","본인 저축액이 월 5만/ 10만/ 20만원일 경우, 
1. 정부 지원금(내일근로장려금, 1:1 매칭)
2. 내일키움장려금(사업단 유형별 1:1, 1:0.5 차등 매칭)
3. 내일키움수익금(사업단 매출에 따라 최대 15만원) 지원",-,-,-,중앙부처,999,제한없음,"자활근로사업단(근로유지형 제외)에서 1개월 이상 성실하게 참여한 근로자
 ※ 월 실제 근무일수 12일 이상",제한없음,제한없음,자활근로사업단에 최근 1개월 이상 성실 참여 중인 자,제한없음,-,자활근로사업단 사업 중 Gateway 과정 및 근로유지형 사업단 참여자는 가입 불가,"1. 지원신청 : 읍/면/동 주민센터에 지원 신청
2. 자격요건 확인 및 보장결정 요청 : 읍/면/동 주민센터에서 자격요건을 확인하고 보장결정을 요청
3. 대상자 결정 및 통보 : 시/군/구청에서 대상자를 결정하고 통보
4. 대상자 본인 저축 입금 : 신청인 본인이 저축액을 입금
5. 지원금 입금 : (재)중앙자활센터(자산형성지원부)에서 지원금을 입금",-,http://www.hopegrowing.com/tomorrow03.jsp,-,-,보건복지부 자립지원과,읍면동 주민센터,http://www.hopegrowing.com/tomorrow01.jsp,http://www.hopegrowing.com/index.jsp
역세권 청년주택 공급,R2021031100472,교통이 편리한 역세권의 체계적 개발을 통해 공공 및 민간임대주택을 공급함으로써 2030 청년세대의 주거안정 도모,"주거·금융, 주거지원","가용지가 부족한 도심에서 교통이 편리한 역세권의 민간소유 토지에 민간이 주도하고 공공이 행정지원하여 청년에게 저렴하고 쾌적한 주택 공급
주변 시세의 30~95퍼센트 가격으로 공급 : 청년들이 부담 가능한 수준으로 입주할 수 있도록 임대보증금의 50퍼센트, 최대 4,500만원(무이자)까지 지원
 - 역세권 청년주택에는 청년들의 활동을 응원하기 위한 다양한 커뮤니티 시설을 설치하며, 살면서 일자리도 구하고 놀 수 있는 청춘플랫폼 구축
보증금 지원
지원대상 : 공공지원민감임대주택(특별/일반공급) 입주 예정자
지원내용 : 
 - 보증금 1억원 초과할 경우 보증금의 30퍼센트 지원
 - 보증금 1억원 이하의 경우 보증금의 50퍼센트 지원
지원한도 : 청년 4,500만원 신혼부부 6,000만원",2016.07.~2022.12.,개별 공고 참조,"15,000실",서울,39,만 19세 ~ 39세,"- 대학생, 청년(만19세~39세), 신혼부부(혼인합산 7년 이내) 중 차량 미운행자(차량 미소유자 포함), 사업대상 지역 거주민에 우선공급(선순위 부여)
 - 장애인 또는 만 65세 이상 고령자, 임산부 또는 영유아(만 6세 미만) 포함한 세대는 주차장 우선제공",제한없음,제한없음,제한없음,제한없음,"소득기준
공공임대주택/공공지원 민간임대주택(특별공급)
1순위 : 100프로 이하
2순위 : 110프로 이하
3순위 : 120프로 이하

자산기준(총 자산가액 기준)
공공임대주택 
 - 대학생 : 7,200만원 이하
 - 청년 : 25,400만원 이하
 - 신혼 : 29,200만원 이하
공공지원 민간임대주택(특별공급)
 - 청년 : 25,400만원 이하
 - 신혼 : 29,200만원 이하

 *일반공급은 별도 기준 없음",개별 공고 참조,"공공임대 : sh서울주택도시공사 인터넷 청약시스템
민간임대 : 각 민간사업자 홈페이지 통해 청약
입주자모집공고 - 청약신청 접수 - 서류심사 대상자 발표 - 대상자 서류제출 소득 및 자산조회 - 소득자산 소명",개별 공고 참조,http://youth2030.co.kr/user/board/mn010203.do,개별 공고 참조,-,서울시청 주택공급과,주관기관과 동일,http://housing.seoul.go.kr,http://youth2030.co.kr
작은결혼식지원,R2021021803522,고비용 결혼문화 개선 및 품격 있고 실용적인 혼례 문화조성으로 결혼식 부담을 경감하여 출산장려 분위기를 조성,"주거·금융, 생활비지원 및 금융 혜택","예식공간지원 및 웨딩패키지(예식장 꾸밈, 예복, 헤어, 부케 등)서비스를 위탁업체를 통하여 제공예비부부 교육 지원",2021.02.01.~2021.12.31.,"2021.01.02~2021.12.31.(상시 접수, 예산 소진시까지)",예비부부 10쌍(20명),울산 울주군,999,제한없음,예비부부 중 1명이상이 신청일기준 울주군에 주민등록을 두고 실제 거주하며 3개월이내 혼인신고 예정인 신혼부부,제한없음,제한없음,제한없음,제한없음,-,-,#NAME?,-,방문접수,"작은결혼식 신청서, 작은결혼식 계획서, 작은결혼식 동의서 및 서약서",-,울주군 여성가족과,주관기관과 동일,https://www.ulju.ulsan.kr/ulju/280,https://www.ulju.ulsan.kr/
전입대학생 지원,R2021021803869,남해군 인구증가 시책의 일환으로 경남도립 남해대학 기숙사 이용 학생에게 기숙사비 지원을 통해 지역경제 활성화와 남해군 인구증대 도모,"주거·금융, 주거지원",기숙사 입주 : 기숙사비 월 60만원(학기당 30만원)기숙사 외 거주 : 10만원 상당의 남해화폐 지급(재학중 1회),연중,매학기마다,290명,경남 남해군,999,제한없음,"전입신고 일자 기준 3개월 이전부터 다른 시,군,구에 주민등록을 두고 있다가 군에 전입신고한 자대학교에 재학하는 학생으로 3개월 이상 경과한 학생",대학 재학,제한없음,제한없음,제한없음,-,중도 퇴사자/학기내 주민등록 전출자,"주민등록상 주소지 읍, 면사무소 방문신청",청년혁신과 검토 및 대학교 기숙사 확인 회신여부 조건부합시 기숙사비 지원,-,"신청서 및 재학증명서,가족관계증명서","입대, 휴학, 자퇴의 이유로 퇴사하는 경우는 예외 지급 가능",남해군청 청년혁신과 남해정착지원팀,주관기과과 동일,https://www.namhae.go.kr/support/Index.do?c=SP0201000000,https://www.namhae.go.kr/
청년주거독립실험실,R2021031101345,"독립자금에 대한 부담, 지속적인 구직실패로 부모에게 의지하고 은둔하는 등 주체적인 사회구성원으로서의 성장이 지연된 청년들에게 스스로 사회에 적응하고 자립할 수 있도록 생활기술 전수 등 주거독립의 경험 제공","주거·금융, 주거지원","셰어하우스 제공, 자립프로그램 교육",2021.01.~2021.12.,공고 시,10명,광주,39,만 18세 ~ 39세,-,제한없음,제한없음,미취업자,중소기업,-,-,"신청 홈페이지에 접속하여 신청서 및 증빙서류, 구직활동계획서 양식 다운 - 구비 서류 양식 작성 및 증빙서류 구비 - 홈페이지 신청",-,http://www.gwangsan.go.kr,"참여신청서 및 개인정보이용, 행정정보공동이용신청서",청년활력프로젝트 세부사업,광주광역시 광산구청 일자리정책과 청년활력팀,주관 기관과 동일,https://blog.naver.com/gwangsan242,-
출산장려금 지원,R2021021803870,우리군 맞춤형·지속가능한 시책발굴로 인구증과 성과 도모와 수요자 중심의 생애주기별 실질적인 지원방안 마련,"주거·금융, 생활비지원 및 금융 혜택","출산장려금(최초일시금, 추후 분할지급)지원",연중,연중,"첫째 25명, 둘째30명, 셋째이상 20명",경남 남해군,999,제한없음,부 또는 모가 자녀 출생 및 전입시 3개월 이전부터 계속하여 군에 주민등록을 두고 거주하는 경우,제한없음,제한없음,제한없음,제한없음,"첫째아이 : 3백만원(일시금 30만원, 매월 15만원x18회)둘째아이 : 4백만원(일시금 40만원, 매월 15만원x24회)셋째아이 : 5백만원(일시금 30만원, 매월 20만원x21회)",주민등록 요건을 미충족한 자(전출 등) 지급중지,"주민등록상 주소지 읍, 면사무소 방문신청",읍·면사무소 신청 > 청년혁신과 접수 > 출산장려지급,http://www.namhae.go.kr,신청서 및 구비서류(공통),-,남해군청 청년혁신과 남해정착지원팀,주관기과과 동일,https://www.namhae.go.kr/support/Index.do?c=SP0501000000,http://www.namhae.go.kr
셰어하우스운영,R2021031101639,#NAME?,"주거·금융, 주거지원","- 관외 창업청년 창업가 거주지 지원(무주택자)- 쉐어하우스 10개실 29명에게 집기비품, 시설유지비 제공",2021.01.01~2021.12.31,결원시 모집,24명,충남 당진시,39,만 19세 ~ 39세,만 39세 이하의 예비 및 7년 이내 청년창업가,제한없음,제한없음,제한없음,제한없음,-,정부사업참여등 중복수혜자 관내 거주청년,타운 방문 또는 홈페이지 참고,"기관심사진행, 타운방문 또는 홈페이지 다음날 홈페이지 결과발표",https://www.dangjin.go.kr/narae.do,"입주신청서,개인정보수집이용동의서,건강진단서,초본,주택미과세증명서",-,문화복지국 평생학습과,당진시 평생학습과,https://www.dangjin.go.kr/narae.do,-
미추홀구 청년저축계좌,R2021021802247,"만 15세~39세의 주거·교육급여, 차상위계층 중 일반 노동시장 취업 청년이 월 본인 10만원 저축시, 근로소득장려금 월 30만원 지원","주거·금융, 생활비지원 및 금융 혜택",월 10만원 저축시 근로소득장려금 월 30만원 지원,2021.01.01.~2021.12.31.,-,-,인천 미추홀구,39,만 15세 ~ 39세,"주거.교육급여, 차상위계층 중 일반노동시장 취업 청년",제한없음,제한없음,제한없음,제한없음,-,-,동행정복지센터,-,-,참여신청서,-,복지정책과 자활지원팀,-,https://www.michuhol.go.kr/dongoffice/board/view.do?sq=194937&board-code=board-78&dept-sq=313&search=,https://www.michuhol.go.kr/main/main.do
청년형 ISA 운영,R2021021800131,청년층의 효과적인 자산 관리를 통해 재산증식 지원,"주거·금융, 생활비지원 및 금융 혜택","ISA 계좌에 다양한 금융상품을 담아 운용하고, 금융상품별 손익을 통산하여 순이익에 세제혜택 부여 (의무가입기간) 3년 * 총급여 5천만원 이하 근로자 또는 종합소득 3.5천만원 이하 사업자 및 농어민",연중,2021.01.01~2021.12.31,-,중앙부처,29,만 15세 ~ 29세,"- 만19세 이상 거주자(취준생, 주부 포함)- 직전 과세기간에 만 15~18세 근로소득자",제한없음,제한없음,제한없음,제한없음,-,제한없음,-,-,-,-,-,금융위원회,주관기관과 동일,-,https://www.fsc.go.kr/index
초중고 입학축하금,R2021021802969,학교 교육의 기회균등 실현 및 학부모의 교육비 부담 경감과 출산친화적 분위기 조성으로 저출산 해소,"주거·금융, 생활비지원 및 금융 혜택","초등학교 입학생 20만원, 중학교 입학생 30만원, 고등학교 입학생 50만원",2021.01.01.~2021.12.31.,사유발생일로부터 6개월 이내,-,충북 영동군,999,제한없음,부 또는 모 와 자녀가 입학일부터 신청일까지 계속 관내 주소를 두고 있으면서 초중고에 입학하는 자녀,제한없음,제한없음,제한없음,제한없음,지급방법: 신청인(보호자)의 통장계좌로 입금*지급요건 확인 후 신청일 다음달 말 이내 지급,-,"주소지 읍면사무소 신청 - 군청 지원조건 확인(주소확인, 입학여부) - 지원금 지급",-,-,"축하금 신청서, 행정정보공동이용신청서, 통장사본",-,영동군청 행정복지국 가족행복과 평생학습팀,주관 기관과 동일,https://www.yd21.go.kr/kr/html/sub02/020101.html?mode=V&no=c8d95bad7aca9e6b025f2516556c33bc,https://www.yd21.go.kr/kr/
청년희망키움통장 지원 및 청년저축계좌 지원,R2021031101968,"자산 축적 기회가 많지 않은 청년 수급자에게 별도의 추가 근로인센티브형 자상형성 지원 및 자립을 위한 특화된 금융교육과 복지서비스 제공하여, 근로유인보상 체계 결합으로 빈곤의 대물림 예방하기 위한 사업","주거·금융, 생활비지원 및 금융 혜택",근로소득공제금 및 장려금 지원,2020.01.01.~2020.12.31.,기수별 모집 기간 지정,-,전북 장수군,39,만 15세 ~ 39세,"1. 청년희망키움통장 지원 : 생계수급 청년 소득인정앵기 30프로이하 가구2. 청년 저축계좌 지원 : 일반인으로 소득인정액이 기준중위소득 50프로이하인 주거, 교육급여 혹은 차상위 청년",제한없음,제한없음,제한없음,제한없음,-,만15세 이하 및 39세 이상의 소득기준 초과자,"관할 주소지 읍,면,동 주민센터 방문 신청",소득재산 조사 후 대상자 결정 및 선정 결과 통보,-,1. 신청서2. 금융정보 등 제공동의서3. 개인정보 제공 및 활용동의서 등,-,장수군청 주민복지실 사회보장팀,한국자활복지개발원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16438,http://www.bokjiro.go.kr/
중소기업 장기근속자 주택우선공급,R2021081800441,"중소기업 근로자로서 중소기업에 5년 이상 근무하거나 동일한 중소기업에 3년 이상 근무한 경력을 가진 무주택 세대구성원에게 국민주택 등을 우선적으로 공급하여, 주거생활을 안정화하고 중소기업으로 인력유입 촉진","주거·금융, 주거지원",중소기업 장기근속자에게 주택 우선공급,연중,연중,700호 내외 (주택건설업체의 공급물량에 따라 변동 가능),중앙부처,999,제한없음,"중소기업에 재직중인 근로자로서 중소기업에 5년 이상 근무하거나 동일한 중소기업에 3년 이상 근무한 경력을 가지고 있는 무주택 세대구성원
? 과거 근무경력을 포함하여 중소기업 재직기간이 5년 이상(동일한 중소기업에 3년이상)이어야 하며, 4대보험 가입내역서 등으로 입증해야 함
? 공고한 날을 기준으로 무주택이어야 하며, 주택 보유사실 은폐?서류 위조 등의 경우 선정 및 계약 취소됨",제한없음,제한없음,중소기업 재직자,제한없음,-,"중소기업 인력지원 특별법 시행령? 제2조에 따른 부동산업, 일반유흥주점업, 무도 유흥주점업, 기타 주점업, 기타 겜블링 및 베팅업, 무도장 운영업",추천 대상자 모집공고(지방중기청) → 추천신청(근로자) → 평가 및 추천대상자 선정(지방중기청) → 청약신청(근로자) → 입주자격조사 및 당첨자 발표(사업주체),연중,"방문, 우편, 온라인(http://sanhakin.mss.go.kr)신청",산학인사이트(https://www.smes.go.kr/sanhakin/) 주택특별공급 공고 참조,지방중소벤처기업청 홈페이지 참조,중소벤처기업부 일자리정책과,중소벤처기업부 일자리정책과,https://www.mss.go.kr/site/smba/supportPolicy/supportPolicyDetailDiv.do?searchSeq=ST-000000001081632&cmm-code=BB020400,https://www.mss.go.kr/site/smba/main.do
햇살론 유스(일반보증),R2021021800129,대학생 및 청년의 금융애로를 해소하고 학업 및 취업 준비에 전념할 수 있도록 지원,"주거·금융, 생활비지원 및 금융 혜택",대학생 및 청년들의 경제적 자립을 위한 생계자금 보증한도 1천2백만원 이내 (연 최대 5백만원) 상환기간 최대 7년(거치기간 6년) 대출금리 연4.5퍼센트 ※중소기업 취업 후 1년 이상 근무한 대학생·청년에 대해서 우대금리 1.5퍼센트지원(최저금리 3.0퍼센트) 상환방법 원리금 균등분할 상환,-,2021.01.01~2021.12.31,-,중앙부처,34,만 19세 ~ 34세,지원대상 만 19세 이상 만 29세 이하 대학생 및 청년(군필자 31세 이하) 중 다음하나의 요건을 충족하신 분- 신용등급 6등급 이하- 차상위계층 및 기초수급자- 근로장려금 신청자격 요건에 해당하는 자,제한없음,제한없음,제한없음,제한없음,"동일인에게 1,200만원의 한도를 1회만 부여, 보증신청금액에 따라 재신청이 가능한 기간이 달라짐",제한없음,보증신청 및 서류 제출 - 보증심사 - 약정체결 및 대출실행,서류심사,https://www.kinfa.or.kr/index.do,"실명확인증표, 건강보험자격득실 확인서 및 납부 확인서, 소득확인 대체 서류(근로소득 원천징수영수증 등), 사업자등록사실여부 사실증명, 주민등록초본, 재학증명서, 휴학 증명서 등",-,금융위원회 서민금융과,서민금융진흥원,https://www.kinfa.or.kr/contentsPage.do?menuCode=20060,https://www.kinfa.or.kr/index.do
신혼부부 결혼축하금  지원사업,R2021021803105,나주시 거주 혼인신고한 신혼부부에게 1백만원 지급,"주거·금융, 생활비지원 및 금융 혜택",2백만원(1회 일시지급),2021.01.01.~2021.12.31.,"연중(혼인신고일 기준, 6개월 경과 후 부터 12개월까지)",250명,전남 나주시,49,만 0세 ~ 49세,"-1명 이상이 초혼
-혼인신고일 전 부부중 한명이라도 나주시 거주 1년 이상
-신청 시 나주시 거주(부부 모두)
-2021.01.01. 이후 혼인신고자",제한없음,제한없음,제한없음,제한없음,-,2021.01.01. 이후 혼인신고한 부부(청년부부 결혼축하금으로 신청),주소지 읍면동행정복지센터 방문 신청,주소지 읍면동행정복지센터 접수시 사업대상자 적격여부 즉시 안내,주소지 읍면동행정복지센터 방문 신청,"신청서, 등본, 혼인관계증명서",-,나주시청 기획예산실,-,https://blog.naver.com/najusipr/222188143588,https://www.naju.go.kr/najuyouth/policy/business?idx=63340&mode=view
청년부부 정착 장려금 지원,R2021021803017,청년부부의 빠른 정착을 지원하고 결혼과 출산을 장려하기 위한 청년복지 정책,"주거·금융, 생활비지원 및 금융 혜택",1회 100만원 지급,2017.04.28.~,상시,50명,충북 단양군,38,만 18세 ~ 38세,단양군에 주민등록을 두고 거주하고 있는 부부(부부 중 어느 한 사람이 혼인신고일 1년 전부터 군에 계속 거주),제한없음,제한없음,제한없음,청년부부,- 단양군에 주민등록을 두고 거주하고 있는 19~39세 부부- 부부 중 어느 한 사람이 혼인신고일 1년 전부터 군에 계속 거주,-,주민자치센터 방문 - 구비 서류 양식 작성 및 증빙서류 구비 - 신청서 및 서류 제출,-,-,"신청서, 혼인관계증명서",주민등록등본(전입신고일 확인),단양군청 문화체육과,주관 기관과 동일,https://www.danyang.go.kr,-
대학생 임대주택,R2021031100629,저렴한 임대료로 기숙사를 제공함으로써 관내 저소득층 대학생들의 경제적 부담 해소에 기여,"주거·금융, 주거지원","보증금 100만원, 월 임대료 5만~10만원 임대주택 지원",2021.01.01.~2021.12.31.,"상,하반기 1회 모집 및 필요시 추가 모집",60명,서울 서대문구,999,제한없음,서대문구 관내 대학에 재학중인 대학생,대학 재학,제한없음,제한없음,제한없음,-,-,1. 신청 홈페이지에 접속하여 입사신청서(2-2-년 1회차) 작성2. 재학증명서 등 제반서류는 입사생으로 선정된 후에 제출3. 서대문구 평생학습 신청 홈페이지에서 온라인 신청,위탁운영 기관 심사 진행,http://lll.sdm.go.kr,"재학증명서, 건강진단서, 기타",-,서대문구청 교육지원과,서대문구도시관리공단,http://www.sdm.go.kr,-
청년 임차보증금 지원,R2021031100476,청년의 소득대비 높은 주거비부담 경감을 위하여 임차보증금 대출 및 이자지원,"주거·금융, 주거지원","개인 신용으로 대출이 어려운 청년들에게도 보증금 대출을 가능하게 하고, 이자를 일부 지원하여 청년들의 주거비 감소에 도움을 주고자 함

- 주택조건 : 서울시 내 보증금 3억원, 월세 70만원 이내 주택 및 주거용 오피스텔

- 대출한도 : 임차보증금의 90프로 또는 7천만원 중 적은 금액

- 지원금리 : 최대 연 2프로 이자지원(본인 부담금리 최소 1프로)

- 대출기간 : 임차계약기간에 따라 회당 6개월~2년(최장 8년까지 연장가능)",연중 상시,상시 접수,"3,300명",서울,39,만 19세 ~ 39세,"연소득 4천만원 이하 무주택 세대주 청년

* 기혼자는 부부연소득 5천만원 이하, 취업준비생 및 대학(원)생은 부모연소득 7천만원 이하",제한없음,제한없음,제한없음,제한없음,,,https://housing.seoul.go.kr 서울주거포털에서 온라인 신청,-,http://housing.seoul.go.kr,신청 페이지 참고,-,서울시청 주택정책과,주관기관과 동일,-,http://housing.seoul.go.kr
지역사회 청년 쉐어하우스 운영,R2021031101542,지역 정착 청년의 초기 주거안정을 위해 기존 건물을 임대하여 저렴한 월세로 청년에게 제공,"주거·금융, 주거지원",지역 정착 청년의 초기 주거안정을 위해 기존 건물을 임대하여 저렴한 월세로 청년에게 제공,2021.3. ~2021.12.,2021.3.~2021.12.,1개 시군,충남,39,만 19세 ~ 39세,만 18세~39세의 해당 시군 거주하는 1인가구 무주택자,제한없음,제한없음,제한없음,제한없음,해당없음,해당없음,시군을 통해 신청,각 시군 재량,-,시군 재량,-,공동체지원국 청년정책과,1개 시군(선정중),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=17305,http://www.chungnam.go.kr/
보호종료아동 자립수당 지급,R2021031101763,보호종료아동에게 자립수당을 지급하여 보호종료 후 경제적 부담을 완화,"주거·금융, 생활비지원 및 금융 혜택",최대 3년간 자립수당 월 30만원 지급,2021.01.01.~2021.12.31.,상시,404명,전북,26,만 18세 ~ 26세,보호종료 후 3년 내 아동,제한없음,제한없음,제한없음,제한없음,해당 없음,해당 없음,해당 읍면동 방문하여 신청,시·군에서 심사 및 발표,해당 없음,신청서 등,해당 없음,여성청소년과,각 시·군 직접 수행,https://www.jeonbuk.go.kr/board/view.jeonbuk?menuCd=DOM-000000109009002003&boardId=BBS-0000091&dataSid=542811,https://www.jeonbuk.go.kr/
성남시 청년신용회복 지원,R2021021802390,학자금대출 장기연체 청년에 대한 신용회복지원을 통한 경제적 재기의 기회제공,"주거·금융, 학자금 지원",학자금대출 신용회복지원을 위한 한국장학재단 분할상환약정 초입금 지원 총 약정금액의 10퍼센트(100만원 이내),신청기간 : 2021. 3. 8.(월) 09:00 ~ 2021. 11. 30.(화) 18:00까지,연중,학자금대출 신용회복지원을 위한 한국장학재단 분할상환약정 초입금 지원 총 약정금액의 10퍼센트(100만원 이내),경기 성남시,34,만 19세 ~ 34세,다수인원 신청 시 선정기준 : 아래의 1 - 2 - 3 순으로 최종 선정1. 잔여 채무액이 많은 자2. 연체기간이 오래된 자3. 나이가 많은 자,제한없음,제한없음,제한없음,제한없음,-,-,"온라인접수 : 지원신청서 전산입력, 주민등록초본 첨부*주민등록초본(신청일로부터 30일 이내 발급한 서류, 최근 5년 이내 주소 변동 사항 포함, 주민등록번호 뒷자리 삭제(가리고) 첨부) 스캔, 핸드폰사진 등 pdf, jpg파일로 저장하여 온라인 첨부",한국장학재단 분할상환약정체결,https://www.seongnam.go.kr/city/1001979/11314/contents.do,"성남시 학자금 대출 장기연체자 신용회복 지원 신청서, 개인정보 수집 이용 및 제공 동의 필수본인 또는 직계존속의 주민등록초본 1부(신청일로부터 30일 이내 발급한 서류, 최근5년 주소이력, 주민등록번호 뒷자리 미포함 발급)동행정복지센터 방문발급, 정부민원포털 정부24 온라인발급개인정보 수집 이용 및 제공 동의* 직계존속 주민등록초본 제출 시 대상자와의 관계 확인 가능한 가족관계증명서(주민등록번호 뒷자리 미포함 발급) 첨부",한국장학재단 협약체결통한 사업추진,성남시청 행정기획조정실 청년정책과,시흥시정신건강복지센터,https://www.seongnam.go.kr/city/1001979/11314/contents.do,https://www.seongnam.go.kr/main.do
청년 사회적 주택(청년 사회주택 공급 활성화),R2021021800113,"LH의 매입임대주택을 운영기관(비영리단체, 협동조합, 사회적기업 등)이 청년층 에게 주변 시세 50퍼센트 수준으로 커뮤니티 활동 등의 다양한 주거서비스를 함께 제공하는 사업","주거·금융, 주거지원",- 사회임대주택청년층 에게 주변 시세 50퍼센트 수준으로 커뮤니티 활동 등의 다양한 주거서비스를 함께 제공,-,상시,-,중앙부처,39,만 19세 ~ 39세,"사회적주택 신청자는 입주자모집공고일(2021.01.02.) 현재 무주택자인 미혼의 청년으로서 소득, 총자산, 자동차가액 기준을 충족하여야 함청년 중 다음의  자격요건 중 어느하나에 해당하는 경우(생계의료주거급여 수급자 가구, 한부모 가족, 차상위계층 가구, 일반 1, 일반2)※ 청년이란, 공고일 현재 주민등록등본 상 만 나이가 19세 이상~39세 이하인 사람으로 직장 재직 여부와 무관",제한없음,제한없음,제한없음,제한없음,-,"기혼자, 외국인, 재외국민은 신청이 불가신청자격은 입주자 모집공고일 부터 계약 시까지 유지해야 하며, 입주 자격검증 통과 후 주택 소유로 자격요건 상실 시 계약이 취소되거나 거절될 수 있음",#NAME?,-,https://www.myhome.go.kr/hws/portal/bbs/selectBoardNoticeDetailView.do?bbsId=BBST01&nttId=115,#NAME?,-,국토교통부 주택개발단,"주거복지재단, 한국토지주택공사",http://hwf.or.kr/02-business/business06.php,http://hwf.or.kr/forceboard/util-iboard.php
청년희망키움통장,R2021021802271,일하는 청년 생계 수급자가 이 사업을 통해 본인의 가처분 소득 감소없이 자산을 축적하여 탈빈곤을 촉진하고 빈곤의 대물림을 예방,"주거·금융, 생활비지원 및 금융 혜택",근로소득장려금(본인 소득에 비례한 일정 비율) + 근로소득공제금(10만원) + 탈수급 장려금(1:1매칭 월 최대2만원까지),2021.01.01.~2021.12.31.,매월 일정기간,28명(2021년 목표인원),인천 계양구,39,만 15세 ~ 39세,기준중위소득 30퍼센트이하의 생계급여 청년,제한없음,제한없음,기타(근로하고 있는 청년),제한없음,3년이내 생계급여 탈수급,유사 자산형성지원사업 참여자 제한,가까운 동행정복지센터에 방문하여 신청서 및 관련서류 제출,시군구에서 지원대상자 선정 및 결정처리 후 개별통보,가까운 동행정복지센터,희망내일키움통장 참여(변경신청서) 및 관련서류(저축동의서 개인정보제공 및 활용동의서),만기해지시 해지신청서 및 적립금지급요구서 및 사용용도 증빙서류 필요,인천광역시 계양구 복지정책과,한국자활복지개발원,https://www.gyeyang.go.kr/open-content/main/bbs/bbsMsgDetail.do?msg-seq=11996&bcd=board-4,https://www.gyeyang.go.kr/open-content/main/
청년 전월세보증금 대출이자 지원,R2021031101679,만18세~39세의 세대주 청년 또는 혼인신고일 기준 5년 미만 신혼부부(만40세 이하)에게 전월세보증금 및 주택구입에 대한 대출이자 지원,"주거·금융, 생활비지원 및 금융 혜택",대출이자 4.5프로 이내 전액(대출한도있음),연중,연중,연 10가구,충남 예산군,39,만 18세 ~ 39세,군에 주민등록 되어있는 만 18~39세 세대주 또는 혼인신고일 기준 5년이내 신혼부부(만40세 이하),제한없음,제한없음,제한없음,제한없음,"대출한도: 전세 1억원 이내, 월세 5천만원 이내",-,인터넷 접수(예산군청홈페이지),게시물별 답글,http://www.yesan.go.kr,"서약서1부, 개인정보 수집 및 제3자 제공동의서 각1부, 주민등록등본, 초본1부(신혼부부는 각1부), 임대차 계약서 및 부동산 등기부 등본 각1부(전월세), 부동산 등기부 등본1부(주택구입), 금융권 발행 대출 확인 서류 1부(직인날인필), 신분증, 가족관계증명서 1부, 본인서명 사실확인서 1부, 건강보험납부확인서 1부, 건강보험증(사본)1부.",-,행정복지국 총무과,예산군청 행정복지국 총무과,http://www.yesan.go.kr/kor/sub05-12-04-01.do,http://www.yesan.go.kr/
